char,status,top1,score1,top2,score2,margin,final_norm,flags,timestamp
あ,SUCCESS,あ,1.0000,お,0.1745,0.8255,1.000000,,20260104_230959
い,SUCCESS,い,1.0000,き,0.2385,0.7615,1.000000,,20260104_230959
う,SUCCESS,う,1.0000,さ,0.1233,0.8767,1.000000,,20260104_230959
え,SUCCESS,え,1.0000,へ,0.2048,0.7952,1.000000,,20260104_230959
お,SUCCESS,お,1.0000,あ,0.1745,0.8255,1.000000,,20260104_230959
か,SUCCESS,か,1.0000,こ,0.2004,0.7996,1.000000,,20260104_230959
き,SUCCESS,き,1.0000,い,0.2385,0.7615,1.000000,,20260104_230959
く,SUCCESS,く,1.0000,こ,0.1686,0.8314,1.000000,,20260104_230959
け,SUCCESS,け,1.0000,い,0.1409,0.8591,1.000000,,20260104_230959
こ,SUCCESS,こ,1.0000,か,0.2004,0.7996,1.000000,,20260104_230959
さ,SUCCESS,さ,1.0000,に,0.1337,0.8663,1.000000,,20260104_230959
し,SUCCESS,し,1.0000,よ,0.1374,0.8626,1.000000,,20260104_230959
す,SUCCESS,す,1.0000,そ,0.1988,0.8012,1.000000,,20260104_230959
せ,SUCCESS,せ,1.0000,ん,0.1494,0.8506,1.000000,,20260104_230959
そ,SUCCESS,そ,1.0000,す,0.1988,0.8012,1.000000,,20260104_230959
た,SUCCESS,た,1.0000,と,0.1905,0.8095,1.000000,,20260104_230959
ち,SUCCESS,ち,1.0000,あ,0.1348,0.8652,1.000000,,20260104_230959
つ,SUCCESS,つ,1.0000,れ,0.1656,0.8344,1.000000,,20260104_230959
て,SUCCESS,て,1.0000,え,0.1717,0.8283,1.000000,,20260104_230959
と,SUCCESS,と,1.0000,た,0.1905,0.8095,1.000000,,20260104_230959
な,SUCCESS,な,1.0000,ら,0.1438,0.8562,1.000000,,20260104_230959
に,SUCCESS,に,1.0000,み,0.2022,0.7978,1.000000,,20260104_230959
ぬ,SUCCESS,ぬ,1.0000,り,0.1502,0.8498,1.000000,,20260104_230959
ね,SUCCESS,ね,1.0000,ふ,0.1764,0.8236,1.000000,,20260104_230959
の,SUCCESS,の,1.0000,り,0.1248,0.8752,1.000000,,20260104_230959
は,SUCCESS,は,1.0000,い,0.1319,0.8681,1.000000,,20260104_230959
ひ,SUCCESS,ひ,1.0000,と,0.1277,0.8723,1.000000,,20260104_230959
ふ,SUCCESS,ふ,1.0000,ね,0.1764,0.8236,1.000000,,20260104_230959
へ,SUCCESS,へ,1.0000,え,0.2048,0.7952,1.000000,,20260104_230959
ほ,SUCCESS,ほ,1.0000,よ,0.1355,0.8645,1.000000,,20260104_230959
ま,SUCCESS,ま,1.0000,を,0.1247,0.8753,1.000000,,20260104_230959
み,SUCCESS,み,1.0000,に,0.2022,0.7978,1.000000,,20260104_230959
む,SUCCESS,む,1.0000,れ,0.1606,0.8394,1.000000,,20260104_230959
め,SUCCESS,め,1.0000,れ,0.1892,0.8108,1.000000,,20260104_230959
も,SUCCESS,も,1.0000,あ,0.1322,0.8678,1.000000,,20260104_230959
や,SUCCESS,や,1.0000,か,0.1554,0.8446,1.000000,,20260104_230959
ゆ,SUCCESS,ゆ,1.0000,ふ,0.1261,0.8739,1.000000,,20260104_230959
よ,SUCCESS,よ,1.0000,そ,0.1836,0.8164,1.000000,,20260104_230959
ら,SUCCESS,ら,1.0000,え,0.1779,0.8221,1.000000,,20260104_230959
り,SUCCESS,り,1.0000,ぬ,0.1502,0.8498,1.000000,,20260104_230959
る,SUCCESS,る,1.0000,み,0.1332,0.8668,1.000000,,20260104_230959
れ,SUCCESS,れ,1.0000,め,0.1892,0.8108,1.000000,,20260104_230959
ろ,SUCCESS,ろ,1.0000,か,0.1349,0.8651,1.000000,,20260104_230959
わ,SUCCESS,わ,1.0000,え,0.1031,0.8969,1.000000,,20260104_230959
を,SUCCESS,を,1.0000,よ,0.1368,0.8632,1.000000,,20260104_230959
ん,SUCCESS,ん,1.0000,せ,0.1494,0.8506,1.000000,,20260104_230959
