input_char,level,decision,top1_char,score1,top2_char,score2,margin,final_norm,timestamp
一,A,REJECT,一,1.0000,二,1.0000,0.0000,1.000000,20260105_174439
二,A,REJECT,一,1.0000,二,1.0000,0.0000,1.000000,20260105_174439
三,A,REJECT,一,1.0000,二,1.0000,0.0000,1.000000,20260105_174439
人,A,ACCEPT,人,1.0000,山,0.1011,0.8989,1.000000,20260105_174439
口,A,ACCEPT,口,1.0000,川,0.1729,0.8271,1.000000,20260105_174439
日,A,ACCEPT,日,1.0000,驚,0.0657,0.9343,1.000000,20260105_174439
月,A,ACCEPT,月,1.0000,川,0.1151,0.8849,1.000000,20260105_174439
木,A,ACCEPT,木,1.0000,森,0.0662,0.9338,1.000000,20260105_174439
山,A,ACCEPT,山,1.0000,龍,0.1036,0.8964,1.000000,20260105_174439
川,A,ACCEPT,川,1.0000,口,0.1729,0.8271,1.000000,20260105_174439
林,B,ACCEPT,林,1.0000,明,0.1008,0.8992,1.000000,20260105_174439
森,B,ACCEPT,森,1.0000,音,0.1115,0.8885,1.000000,20260105_174439
明,B,ACCEPT,明,1.0000,林,0.1008,0.8992,1.000000,20260105_174439
休,B,REJECT,休,1.0000,信,1.0000,0.0000,1.000000,20260105_174439
好,B,ACCEPT,好,1.0000,学,0.0712,0.9288,1.000000,20260105_174439
男,B,ACCEPT,男,1.0000,明,0.0928,0.9072,1.000000,20260105_174439
信,B,REJECT,休,1.0000,信,1.0000,0.0000,1.000000,20260105_174439
体,B,REJECT,休,1.0000,信,1.0000,0.0000,1.000000,20260105_174439
先,B,ACCEPT,先,1.0000,競,0.0697,0.9303,1.000000,20260105_174439
見,B,ACCEPT,見,1.0000,観,0.0860,0.9140,1.000000,20260105_174439
学,B,ACCEPT,学,1.0000,花,0.1138,0.8862,1.000000,20260105_174439
花,B,ACCEPT,花,1.0000,学,0.1138,0.8862,1.000000,20260105_174439
音,B,ACCEPT,音,1.0000,森,0.1115,0.8885,1.000000,20260105_174439
書,B,ACCEPT,書,1.0000,日,0.0610,0.9390,1.000000,20260105_174439
話,B,ACCEPT,話,1.0000,明,0.1005,0.8995,1.000000,20260105_174439
議,C,REJECT,議,1.0000,識,1.0000,0.0000,1.000000,20260105_174439
識,C,REJECT,議,1.0000,識,1.0000,0.0000,1.000000,20260105_174439
験,C,ACCEPT,験,1.0000,驚,0.0843,0.9157,1.000000,20260105_174439
競,C,ACCEPT,競,1.0000,一,0.0825,0.9175,1.000000,20260105_174439
驚,C,ACCEPT,驚,1.0000,験,0.0843,0.9157,1.000000,20260105_174439
観,C,ACCEPT,観,1.0000,見,0.0860,0.9140,1.000000,20260105_174439
類,C,REJECT,類,1.0000,額,1.0000,0.0000,1.000000,20260105_174439
複,C,ACCEPT,複,1.0000,話,0.0945,0.9055,1.000000,20260105_174439
額,C,REJECT,類,1.0000,額,1.0000,0.0000,1.000000,20260105_174439
龍,C,ACCEPT,龍,1.0000,口,0.1128,0.8872,1.000000,20260105_174439
